name,price,description,stock,image,keyword,precaution,ingredients,uses,category
Kesh King Ayurvedic Hair Growth Capsule (30 capsules),122," Kesh King Ayurvedic Capsule is a complete Ayurvedic formula, which is prepared using 6 selected herbs found in the nature. According to Ayurvedic texts these herbs works as Sanjeevani for hair strands. Kesh King Ayurvedic Capsule not only helps in protecting and nourishing the hair but also prevents premature greying, dandruff, hair fall, split hair and checks loss of hair, sleeplessness and headache",65,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283521674_19Kesh King Ayurvedic Hair Growth Capsule (30 capsules).jpg?alt=media&token=image,"Kesh King Ayurvedic Hair Growth Capsule (30 capsules),  hair fall, bal ka jhadna, balo ka tutnna","It is advised to be taken with hot milk, fruit juice or water or consult your doctor first","Eclipta Alba (Bhringraj) 50mg, Convolvulus (Shankhpusphi) 50mg, Mica Bhasam (Abhrak Bhasam) 150mg, Withania Somnifera (Ashwagandha Powder) 150mg, Bacopa Monieri (Brahmi) 50mg, Emlica Officinalis (Amla) 50mg","Dosage for children is 1 capsule twice a day. And for Adults, 2 capsules twice a day",627caef5412fc0e68820c499
DHI DHT BLOCKER CONTAIN SAW PALMETTO & PUMPKIN SEED POWDER CONTROLS HAIR FALL & BOOST HAIR GROWTH  60 VEG CAPSULES,,"Powerful & comprehensive hair food complex with a Natural, Drug- Free Formula with saw palmetto, Pygeum and Pumpkin Seed. Supports hair growth, promotes hair strengthening, promotes healthy roots and prevents baldness as it helps actively Fights against hair loss while preventing follicle miniaturization",67,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283550156_20DHI DHT BLOCKER CONTAIN SAW PALMETTO & PUMPKIN SEED POWDER CONTROLS HAIR FALL & BOOST HAIR GROWTH - 60 VEG CAPSULES.webp?alt=media&token=image,"DHI DHT BLOCKER CONTAIN SAW PALMETTO & PUMPKIN SEED POWDER CONTROLS HAIR FALL & BOOST HAIR GROWTH - 60 VEG CAPSULES, hair fall, bal ka jhadna, balo ka tutnna","if you feel any side effect so immediately consult your doctor, this capsule  is not for children","Phytosterols, Pumpkin Seed Powder, Saw Palmetto",2 Capsules daily after meal,627caef5412fc0e68820c499
Hair Growth Cream  100g,799,"Hair Growth Serum is formulated from all plant-derived ingredients such as Redensyl, Procapil, Saw Palmetto, Fenugreek (Methi), Moringa and Red Clover. This hair serum for women has been scientifically formulated for hair growth and gives you the perfect hair fall solution",34,"https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283588638_21Hair Growth Cream – 100g,.webp?alt=media&token=image","Hair Growth Cream - 100g,  hair fall, bal ka jhadna, balo ka tutna","if you feel any side effect so immediately consult your doctor, this cream is not for children","Redensyl, Procapil, Saw Palmetto, Fenugreek (Methi), Moringa and Red Clover",as directed by the physician,627caef5412fc0e68820c499
Qraa Men HairCare Capsule for Hair fall Premature greying and Hair Regrowth,630,"Ayurvedic ingredients help cater to the complete care of the tresses.
Enhance the health and appearance of the hairs to keep hair soft and smooth for a longer time.
Formulated with the best Ayurvedic ingredients like Hibiscus flower, Bhringraj, Brahmi, Amla, etc. known to work absolute wonders for the hairs and scalp",98,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283621350_22Qraa Men HairCare Capsule for Hair fall Premature greying and Hair Regrowth.webp?alt=media&token=image,"Qraa Men HairCare Capsule for Hair fall Premature greying and Hair Regrowth, balo ki problems, balo ka jhadna , balo ka girna","if you feel any side effect so immediately consult your doctor, this capsule is not for children","Moti Pishti, Bhringraj, Shringataka, Saptamrita Loha, Lakshadi Guggulu, Sahjan:, Apamarg, Trifla",Take two capsules twice daily or as directed by your physician to put it precisely,627caef5412fc0e68820c499
Pristine Herbal Touch,8591,Pristine Herbal Touch Wart & Mole Vanish removes 2-5 large growths or 5-25 smaller growths with one kit,121,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283673355_23Pristine Herbal Touch.webp?alt=media&token=image,"Pristine Herbal Touch, Hair Regrowth, balo ki problems, balo ka jhadna , balo ka girna","this is herbal product so there are no side effect of this product, but you should consult your doctor","Shringataka, Saptamrita Loha, Lakshadi Guggulu, Sahjan, Apamarg, Trifla",Take two capsules twice daily or as directed by your physician to put it precisely,627caef5412fc0e68820c499
Chiropex 30Gm Cream,65,"It helps in fighting the condition of plantar xerosis, which leads to dryness of the skin on the heels and feet",51,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283701994_24Chiropex 30Gm Cream.webp?alt=media&token=image,"Chiropex 30Gm Cream, skin problem ki daa, skin disease, skin problem","Read the label carefully before use, Store in a cool and dry place away from direct sunlight","Flaxseed, Basil, Honey, Lemon, Pongam Tree",Apply Chiropex cream on the affected areas and massage the cream in circular motion,627caef5412fc0e68820c499
Wartosin Wart Remover-pack Of 4,230,It helps in fighting the condition of wart Active Ingredients Which Removes Your Ugly Warts,92,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283740239_25Wartosin Wart Remover-pack Of 4.jpg?alt=media&token=image,"Wartosin Wart Remover-pack Of 4, masse ki dawa, masse k alaaj","Read the label carefully before use, Store in a cool and dry place away from direct sunlight","Saptamrita Loha, Lakshadi Guggulu, Sahjan",apply  it on wart or as directed by the physician,627caef5412fc0e68820c499
The Body Shop Ginger Anti Dandruff Shampoo (400ml),940,"This Tea Tree Skin Clearing Facial Wash infused with potent tea tree oil, cleanses blemished skin with each use. A cooling lather removes impurities and excess oil, leaving skin feeling refreshed and purified. Use daily for shine-free, visibly clearer results",48,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283771936_26The Body Shop Ginger Anti Dandruff Shampoo (400ml).avif?alt=media&token=image,"The Body Shop Ginger Anti Dandruff Shampoo (400ml), anti dandruff, rusi ka shampoo,  rusi k ilaaj","Do not refrigerate, Avoid contact with eye. If contact occurs, rinse immediately with water, Discontinue in case of irritation or sensitivity, Store in cool a dry place away from direct sunlight, For external use only","Ginger Root, Tea Tree Oil, Aqua, Caprylyl/capryl glucoside, sodium methyl cocoyl taurate, Cocamidopropyl Betaine, PEG-150 Polyglyceryl-2 Tristearate (and) Laureth-3 (and) Dipropylene Glycol, Propanediol, Coco-Glucoside (and) Glyceryl Oleate, Glycerin, Coco diethanolamide, Climbazole, Polyquaternium-6, Panthenol, Zingiber Officinale (Ginger) Root Extract, Melaleuca Alternafolia (Tea Tree) Leaf Oil, Disodium EDTA, Caprylhydroxamic Acid (and) Phenethyl Alcohol, Fragrance",before using it you must have to consult your doctor,627caef5412fc0e68820c499
Dabur Vatika Natural Damage Therapy Ayurvedic Shampoo 640 Ml,298,"Dabur Ayurvedic Shampoo has the power of 10 Natural Ingredients Yashtimadhu, Bhringraj, Aloe Vera, Henna, Methi, Amla, Reetha, Almond, Rosemary,Javakusum, It protects your hair from damage and gives strong, healthy hair, It gives 48% higher protection from Hair, Damage as compared to other non-conditioning shampoos
",63,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283807700_27Dabur Vatika Natural Damage Therapy Ayurvedic Shampoo 640 Ml.webp?alt=media&token=image,"Dabur Vatika Natural Damage Therapy Ayurvedic Shampoo 640 Ml, shampoo for hair, balo ki problems, balo ke issue balo ka jhadna","Do not refrigerate, Avoid contact with eye. If contact occurs, rinse immediately with water, Discontinue in case of irritation or sensitivity, Store in cool a dry place away from direct sunlight, For external use only","Bhringraj, Yashtimadhu, Mulethi, Aloe Vera, almond",before using it you must have to consult your doctor,627caef5412fc0e68820c499
6Drops Natural Shikakai Shampoo for Hair Growth Ayurvedic Anti Hairfall & Anti Dandruff Shampo,239,"Shikakai Shampoo Is Filled To The Brim With Antioxidants And Vitamins A, C, K, And D That Nourish Your Hair, Fight Dandruff, And Reduce Hair Loss. It Works Excellently In Removing Pollutants And Impurities From The Scalp And Maintains The Natural Ph Balance Of Your Hair. Moreover, It Is Infused With Trifala, Which Strengthens Your Hair And Reduces Hair Fall",40,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283852748_286Drops Natural Shikakai Shampoo for Hair Growth Ayurvedic Anti Hairfall & Anti Dandruff Shampo.webp?alt=media&token=image,"6Drops Natural Shikakai Shampoo for Hair Growth Ayurvedic Anti Hairfall & Anti Dandruff Shampo, hampoo for hair, balo ki problems, balo ke issue balo ka jhadna","Avoid contact with eye. If contact occurs, rinse immediately with water, Discontinue in case of irritation or sensitivity, Store in cool a dry place","shikakai, tulsi, amla, mehendi, lemon, triphala",wash your hair 3 times in a weak or as directed by the physician,627caef5412fc0e68820c499
Blue Nectar Ayurvedic Baby Hair Oil with Ghee for Healthy Scalp,835,"A blend of 18 pure Ayurvedic herbs, this oil takes care of the nutrient requirement of your baby’s hair. It provides deep nourishment for the scalp and hair. Nourished hair is healthy hair",60,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283881845_29Blue Nectar Ayurvedic Baby Hair Oil with Ghee for Healthy Scalp.webp?alt=media&token=image,"Blue Nectar Ayurvedic Baby Hair Oil with Ghee for Healthy Scalp, baccho ke liye tel, bacho ke balom ke liye tel","Discontinue in case of irritation or sensitivity, Store in cool a dry place, protect from direct sun light","Ghee, Shankhpushpi oil,Brahmi, Coconut oil, Complete Ingredient List",apply  it avery day or as directed by the physician,627caef5412fc0e68820c499
NATURAL STRENGTHENING BABY SHAMPOO 200ML,539,"Your baby’s hair and scalp are sensitive and need to be protected from harmful particles settled from the surroundings. Höhner Baby Hair Shampoo is the perfect blend of natural ingredients like Chamomile extract, and a mild coconut based cleanser. This shampoo has anti-frizz benefits making it easy to comb your baby’s hair and it is suitable for daily use",30,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283937534_30NATURAL STRENGTHENING BABY SHAMPOO 200ML.jpg?alt=media&token=image,"NATURAL STRENGTHENING BABY SHAMPOO 200ML, baby shampo, baccho ke liye shampoo","Store in cool a dry place, protect from direct sun light, in case of any side effect first contact your doctors","chamomile, vitamin e, cococnut, Saptamrita Loha, Lakshadi Guggulu, Sahjan, Apamarg","Wet the baby’s hair and take a moderate amount of shampoo, Apply gently and massage into the wet hair to lather up",627caef5412fc0e68820c499
As I  Am Dry & Ichy Scalp Care Oil Treatment 4oz,811,Health and Beauty Hair Treatments As I am Dry & Itchy Scalp Care Oil Treatment 120 ml Treatment with olive oil for the care of dry and itchy scalp. Olive and tree oil treatment,83,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283976708_31As I  Am Dry & Ichy Scalp Care Oil Treatment 4oz.jpg?alt=media&token=image,"As I  Am Dry & Ichy Scalp Care Oil Treatment 4oz, balo ki problems, balo ka jhadna , balo ka girna","Shake well before use. For external use only, When using this product, avoid contact with eyes. If contact occurs, rinse eyes thoroughly with water, Stop use and ask a doctor if conditions worsens or does not improve with regular use,Keep out of reach of children., If swallowed, get medical help or contact a Poison Control Center right away","icinus communis (castor) seed oil, cocos nucifera (coconut) oil, glycine soja (soybean) oil, helianthus annuus (sunflower) seed oil, nigella sativa seed oil, caprylic acid, olea europaea (olive) fruit oil, melaleuca alternifolia (tea tree) leaf oil, origanum vulgare leaf extract, aloe barbadensis leaf extract, fragrance/parfum, piroctone olamine, ceramide ng, menthol, mentha piperita (peppermint) oil, simmondsia chinensis (jojoba) seed oil, carthamus tinctorius (safflower) seed oil, citronellol, geraniol, hexyl cinnamal, benzyl salicylate, limonene, alpha-isomethyl ionone, hydroxycitronellal, linalool, coumarin",Apply to dry and itchy areas as needed. Massage into scalp. Do not rinse,627caef5412fc0e68820c499
Roots Oil-in-Serum 100ml for Hair Fall Control and Scalp Rescue,995,"Reduces the hair fall, Effective for the sensitive scalp, Promotes the hair growth, Reduces side effects of other synthetic hair products",71,"https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653284007251_32Roots Oil-in-Serum 100ml for Hair Fall Control and Scalp Rescue,.jpg?alt=media&token=image","Roots Oil-in-Serum 100ml for Hair Fall Control and Scalp Rescue,balo ki problems, balo ka jhadna , balo ka girna","Store in cool a dry place, protect from direct sun light, in case of any side effect first contact your doctors","CHAMOMILE, CALENDULA, Saptamrita Loha, Lakshadi Guggulu, Sahjan, Apamarg",Take the desired quantity of this oil-in-serum through the dropper. Apply directly to the roots and scalp by distributing the serum thoroughly. Massage the serum onto the roots of the scalp. Leave it overnight or for at least 3 hours prior to shampooing,627caef5412fc0e68820c499
Soybean Methi Summer Hair Oil,509,"Kitchen fresh Hair Oil for ultimate repair of dry, rough or damaged hair. Specially made with cooling ingredients for Summer conditions. This Dasabuti oil is enriched for over 10HRS via Slow Heat Infusion of fresh soybean, methi, amla, henna leaves, shatavari, neem, shikakai, indigo, flax seeds, malkangani & more in multiple oils such as castor, coconut, soybean & mustard. 16 Ayurvedic herbs infused for maximised results. All oils are PURE Cold Pressed. ZERO Paraffin & Mineral Oils. Zero Chemicals & preservatives",40,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653284040266_33Soybean Methi Summer Hair Oil.webp?alt=media&token=image,"Soybean Methi Summer Hair Oil, balo ki problems, balo ka jhadna , balo ka girna","protect from direct sun light, in case of any side effect first contact your doctors","soya bean, methi, amla, henna leave, shtavari, neem, shhekakai, indoge",Apply directly to the roots and scalp or as directed by the doctors,627caef5412fc0e68820c499
Maharishi Ayurveda Amlant Tablet,270,"It is an antacid offering multi-dimensional approach in treating various gastric problems, and most effectively treats acidity. AML means acid, and ANT means end, Thus,Amlant refers to a medicine which would neutralize the excess acid, hence preventing various gastric and duodenal problems In addition to its prompt acid neutralizing action it minimises hyperexcitability of vagus nerve and also relieves stress and anxiety",62,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653284079164_34Maharishi Ayurveda Amlant Tablet.webp?alt=media&token=image,"Maharishi Ayurveda Amlant Tablet, hair growth tablets",before take this always consult your doctors,"Amla,Mulethi, harad, Pippali, Bacheda, Kali Mirch, Sunthi",1-2 tablets twice a day or as advised by the physician,627caef5412fc0e68820c499
P6 Ayurvedic Capsule pack of 2 Dibbi,,powerful formula made with effective and natural herbs i.e. helpful in enhancing the overall growth of the body. It helps improve hair growth,91,"https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653284105861_35P6 Ayurvedic Capsule pack of 2 Dibbi,.jpg?alt=media&token=image",P6 Ayurvedic Capsule pack of 2 Dibbi,"Avoid Spicy Food, Avoid Junk Food","helianthus annuus (sunflower) seed oil, nigella sativa seed oil, caprylic acid, olea europaea (olive) fruit oil, melaleuca alternifolia (tea tree) leaf oil, origanum vulgare leaf extract, aloe barbadensis leaf extract, fragrance/parfum, piroctone olamine, ceramide ng, menthol, mentha piperita (peppermint) oil, simmondsia chinensis (jojoba) seed oil","Use P6 tube 2 to 3 Times a day, Use P6 2 Capsules three times a day",627caef5412fc0e68820c499
PHALASARPIS 150GM KOTTAKKAL,,Boosts up immunity and prevents recurrence of infection. Improves brain function and enhances memory ad concentration. Reduces physical exhaustion and mental stress,79,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653284131183_36PHALASARPIS - 150GM – KOTTAKKAL.jpg?alt=media&token=image,PHALASARPIS - 150GM - KOTTAKKAL,"protect from direct sun light, in case of any side effect first contact your doctors","sarkara, kakoli, hingu, nisa, vacha, darva, amalakki, kshiram, madhuka",5 to 10 g once or twice daily or as directed by the Physician,627caef5412fc0e68820c499
